Gene,liver_nTPM_value,Classification,confidence_score
FUOM,222.7,liver protein (all 3),90
PGRMC1,656.9,liver protein (all 3),95
CES2,335.1,liver protein (all 3),90
HSD17B6,1748.9,liver protein (all 3),100
SLC27A2,279.4,liver protein (all 3),90
AGPAT2,434.1,liver protein (nTPM + cluster),65
SLC22A1,594.8,liver protein (all 3),95
AQP9,681.6,liver protein (all 3),95
GSTZ1,254.8,liver protein (all 3),90
MYO1B,247.8,liver protein (all 3),90
ENTPD5,255.6,liver protein (all 3),90
RDH16,768.9,liver protein (all 3),95
FCN3,270.1,liver protein (all 3),90
SC5D,381.7,liver protein (all 3),90
IDH1,520.1,liver protein (all 3),95
ALDH1L1,358.6,liver protein (all 3),90
SEC14L2,236.2,liver protein (all 3),90
SLCO2B1,222.4,liver protein (all 3),90
APOM,381.2,liver protein (all 3),90
VNN1,212.1,liver protein (nTPM + cluster),65
CLDN1,300.6,liver protein (nTPM + cluster),65
FTCD,917.4,liver protein (all 3),95
CYB5A,2392.7,liver protein (all 3),100
ADH1B,5678.8,liver protein (all 3),100
ADH1C,1997.6,liver protein (all 3),100
ALDH1A1,1455.3,liver protein (all 3),100
GLUD1,892.0,liver protein (all 3),95
PAH,1365.3,liver protein (all 3),100
SOD1,1594.4,liver protein (all 3),100
CP,1815.4,liver protein (all 3),100
OTC,366.1,liver protein (all 3),90
F2,1180.6,liver protein (all 3),100
C1R,1390.1,liver protein (all 3),100
HP,54575.6,liver protein (all 3),100
HPR,786.9,liver protein (all 3),95
F9,683.7,liver protein (all 3),95
PLG,2571.0,liver protein (all 3),100
F12,589.9,liver protein (all 3),95
CFB,2453.1,liver protein (all 3),100
ASS1,1978.3,liver protein (nTPM + cluster),75
SERPINC1,4902.3,liver protein (all 3),100
SERPINA1,33156.1,liver protein (all 3),100
SERPINA3,8942.3,liver protein (nTPM + cluster),75
AGT,1563.6,liver protein (all 3),100
A2M,1212.9,liver protein (all 3),100
C3,5250.9,liver protein (all 3),100
C5,434.4,liver protein (all 3),90
KNG1,3097.3,liver protein (all 3),100
APOA1,18779.1,liver protein (all 3),100
APOE,6430.8,liver protein (all 3),100
APOA2,34742.6,liver protein (all 3),100
APOC1,17322.1,liver protein (all 3),100
APOC2,9320.5,liver protein (nTPM + cluster),75
APOC3,26980.2,liver protein (all 3),100
FGA,17848.7,liver protein (all 3),100
FGB,17393.5,liver protein (all 3),100
FGG,16058.1,liver protein (all 3),100
CRP,9151.6,liver protein (nTPM + cluster),75
APCS,3515.6,liver protein (all 3),100
C9,1268.7,liver protein (all 3),100
APOH,17409.3,liver protein (all 3),100
LRG1,920.6,liver protein (nTPM + cluster),70
FN1,1674.5,liver protein (nTPM + cluster),75
RBP4,10726.7,liver protein (all 3),100
AMBP,10607.0,liver protein (all 3),100
ORM1,41892.9,liver protein (all 3),100
AHSG,5638.7,liver protein (all 3),100
ALB,205952.1,liver protein (all 3),100
GC,8007.3,liver protein (all 3),100
TF,7278.6,liver protein (all 3),100
HPX,5126.7,liver protein (all 3),100
FTL,14070.0,liver protein (nTPM + cluster),75
MT2A,5644.8,liver protein (nTPM + cluster),75
ANG,2920.4,liver protein (all 3),100
F11,235.6,liver protein (all 3),90
KLKB1,318.1,liver protein (all 3),90
C4BPA,1860.6,liver protein (all 3),100
VTN,5852.0,liver protein (all 3),100
CAT,1180.2,liver protein (all 3),100
APOB,1155.6,liver protein (all 3),100
LCAT,276.1,liver protein (all 3),90
HRG,5270.7,liver protein (all 3),100
A1BG,1194.2,liver protein (nTPM + cluster),75
ASL,386.7,liver protein (nTPM + cluster),65
MT1A,420.0,liver protein (nTPM + cluster),65
MT1E,1743.2,liver protein (nTPM + cluster),75
MT1F,548.2,liver protein (nTPM + cluster),70
ALDOB,10855.3,liver protein (all 3),100
ARG1,1166.8,liver protein (nTPM + cluster),75
ALDH2,831.4,liver protein (all 3),95
SERPING1,2545.7,liver protein (all 3),100
CFI,952.1,liver protein (all 3),95
CYP1A2,495.9,liver protein (all 3),90
CYP2E1,10050.5,liver protein (all 3),100
SERPINA7,273.6,liver protein (all 3),90
SERPIND1,1214.6,liver protein (all 3),100
HPN,845.2,liver protein (nTPM + cluster),70
UGT2B4,1234.7,liver protein (all 3),100
BCHE,508.2,liver protein (all 3),95
C2,466.0,liver protein (all 3),90
EPHX1,1652.5,liver protein (all 3),100
FABP1,12622.4,liver protein (nTPM + cluster),75
PROS1,274.9,liver protein (all 3),90
ASGR1,1065.6,liver protein (nTPM + cluster),75
ASGR2,819.9,liver protein (all 3),95
ADH1A,2653.7,liver protein (all 3),100
C8A,481.7,liver protein (all 3),90
C8B,630.0,liver protein (all 3),95
C8G,550.5,liver protein (nTPM + cluster),70
GJB1,376.0,liver protein (all 3),90
SERPINA6,752.4,liver protein (all 3),95
GSTA1,2530.1,liver protein (all 3),100
ADH4,4994.3,liver protein (all 3),100
CD14,347.3,liver protein (all 3),90
CFH,1645.3,liver protein (all 3),100
CYP3A4,3492.7,liver protein (all 3),100
SERPINF2,1539.8,liver protein (all 3),100
ACAA1,638.8,liver protein (all 3),95
GSTA2,1994.3,liver protein (all 3),100
FBP1,849.4,liver protein (nTPM + cluster),70
GSTM1,590.7,liver protein (nTPM + cluster),70
C1S,2762.6,liver protein (all 3),100
C4A,328.2,liver protein (all 3),90
C4B,375.4,liver protein (all 3),90
SAA2,35358.8,liver protein (nTPM + cluster),75
MGST1,3006.2,liver protein (nTPM + cluster),75
CYP2C8,2088.7,liver protein (all 3),100
CYP2D6,312.1,liver protein (nTPM + cluster),65
TFPI,263.9,liver protein (nTPM + cluster),65
GHR,206.8,liver protein (all 3),90
SLC2A2,810.6,liver protein (all 3),95
MBL2,272.6,liver protein (all 3),90
CYP2A6,1564.1,liver protein (all 3),100
MTHFD1,330.3,liver protein (all 3),90
CYP2C9,1667.6,liver protein (all 3),100
ALAS1,532.3,liver protein (nTPM + cluster),70
MT1G,6693.8,liver protein (nTPM + cluster),75
C6,610.3,liver protein (all 3),95
FDPS,344.6,liver protein (nTPM + cluster),65
ST6GAL1,480.8,liver protein (all 3),90
ACADS,239.5,liver protein (all 3),90
POR,303.8,liver protein (nTPM + cluster),65
UGT2B7,1563.0,liver protein (all 3),100
FAH,293.4,liver protein (all 3),90
AKR1C4,695.1,liver protein (all 3),95
TAT,1233.9,liver protein (nTPM + cluster),75
GPX2,561.9,liver protein (nTPM + cluster),70
LBP,1304.6,liver protein (nTPM + cluster),75
SDC1,472.9,liver protein (nTPM + cluster),65
ORM2,8652.9,liver protein (all 3),100
ITIH2,2091.1,liver protein (all 3),100
ITIH1,1459.7,liver protein (all 3),100
SDS,999.5,liver protein (nTPM + cluster),70
CYP2B6,570.5,liver protein (all 3),95
CYP3A5,269.4,liver protein (all 3),90
EFNA1,461.3,liver protein (nTPM + cluster),65
C4BPB,458.6,liver protein (nTPM + cluster),65
PTMS,551.5,liver protein (all 3),95
AGXT,2145.9,liver protein (all 3),100
SCP2,1081.6,liver protein (all 3),100
UGT1A1,314.0,liver protein (all 3),90
UGT1A4,381.5,liver protein (all 3),90
AADAC,917.3,liver protein (nTPM + cluster),70
CPN2,212.0,liver protein (all 3),90
CES1,2440.5,liver protein (all 3),100
ACAT1,939.5,liver protein (all 3),95
MPST,381.2,liver protein (all 3),90
MST1,905.4,liver protein (nTPM + cluster),70
PON1,516.3,liver protein (all 3),95
MAOB,308.0,liver protein (all 3),90
ADH6,682.3,liver protein (all 3),95
HSD11B1,938.4,liver protein (nTPM + cluster),70
SERPINA4,533.2,liver protein (all 3),95
ALDH4A1,426.0,liver protein (all 3),90
DDT,815.7,liver protein (nTPM + cluster),70
GCHFR,341.6,liver protein (nTPM + cluster),65
ECHS1,1093.7,liver protein (all 3),100
CPS1,1031.6,liver protein (nTPM + cluster),75
SDC4,398.7,liver protein (nTPM + cluster),65
FMO3,1088.9,liver protein (all 3),100
HPD,2452.6,liver protein (all 3),100
RNASE4,463.8,liver protein (all 3),90
